-20.5,77,-20.5,1,0,1,0,1,1
-20,70,-23,1,1,0,0,1,0
-16.5,29,-15.5,2,2,1,1,0,3
-16.5,29,-15.5,2,2,1,1,0,1
-16,38,-16,2,3,1,1,1,2
-16,38,-16,2,3,1,1,1,1
-15.5,64,-14.5,1,4,2,0,0,1
-15.5,64,-14.5,1,4,2,0,0,2
-16,76,-18,0,0,1,1,0,1
-13.5,25,-19.5,1,3,2,0,1,3
-13.5,25,-19.5,1,3,2,0,1,2
-14,47,-14,2,3,2,1,0,0
-10.5,23,-16.5,2,4,0,0,0,0
-11,66,-13,0,4,0,1,0,2
-8.5,22,-13.5,0,2,2,1,0,0
-8.5,22,-13.5,0,2,2,1,0,2
-9,49,-14,1,0,0,0,1,1
-6.5,29,-9.5,1,1,2,0,1,2
-6.5,29,-9.5,1,1,2,0,1,1
-6,79,-9,2,1,2,2,0,3
-4.5,55,-6.5,1,1,2,2,1,1
-4.5,55,-6.5,1,1,2,2,1,2
-5,55,-10,2,4,2,1,0,2
-5,55,-10,2,4,2,1,0,1
-2.5,44,-4.5,1,1,0,0,1,3
-2.5,44,-4.5,1,1,0,0,1,1
-3,72,-9,2,3,2,2,1,2
-3,72,-9,2,3,2,2,1,1
-0.5,57,-1.5,0,3,2,0,1,3
-0.5,57,-1.5,0,3,2,0,1,0
-1,24,-7,1,3,2,2,1,0
1.5,69,-4.5,2,1,2,0,2,3
1.5,69,-4.5,2,1,2,0,2,4
2,72,-1,4,0,2,2,1,3
3.5,64,3.5,3,0,1,2,2,4
3.5,64,3.5,3,0,1,2,2,3
4,93,1,3,0,1,2,1,3
4,93,1,3,0,1,2,1,2
5.5,78,1.5,4,1,1,0,1,3
5.5,78,1.5,4,1,1,0,1,2
6,82,0,4,2,0,2,1,1
8.5,50,5.5,4,3,2,0,2,3
8.5,50,5.5,4,3,2,0,2,2
9,63,7,3,4,1,0,2,2
10.5,76,11.5,4,0,1,2,1,1
10.5,76,11.5,4,0,1,2,1,3
11,95,8,2,3,2,2,2,1
